0,0,0,255,255,255
0,0,1,255,255,255
0,0,2,255,255,255
0,0,3,255,255,255
0,1,0,255,255,255
0,1,1,255,255,255
0,1,2,255,255,255
0,1,3,255,255,255
0,2,0,255,255,255
0,2,1,255,255,255
0,2,2,255,255,255,255
0,2,3,255,255,255,255
0,3,0,255,255,255,255
0,3,1,255,255,255,255
0,3,2,255,255,255,255
0,3,3,255,255,255,255
1,0,0,128,128,128
1,0,1,128,128,128
1,0,2,128,128,128
1,0,3,128,128,128
1,1,0,128,128,128
1,1,1,128,128,128
1,1,2,128,128,128
1,1,3,128,128,128
1,2,0,128,128,128
1,2,1,128,128,128
1,2,2,128,128,128
1,2,3,128,128,128
1,3,0,128,128,128
1,3,1,128,128,128
1,3,2,128,128,128
1,3,3,128,128,128
2,0,0,16,16,16
2,0,1,16,16,16
2,0,2,16,16,16
2,0,3,16,16,16
2,1,0,16,16,16
2,1,1,16,16,16
2,1,2,16,16,16
2,1,3,16,16,16
2,2,0,16,16,16
2,2,1,16,16,16
2,2,2,16,16,16
2,2,3,16,16,16
2,3,0,16,16,16
2,3,1,16,16,16
2,3,2,16,16,16
2,3,3,16,16,16
3,0,0,255,0,0
3,0,1,255,0,0
3,0,2,255,0,0
3,0,3,255,0,0
3,1,0,255,0,0
3,1,1,255,0,0
3,1,2,255,0,0
3,1,3,255,0,0
3,2,0,255,0,0
3,2,1,255,0,0
3,2,2,255,0,0
3,2,3,255,0,0
3,3,0,255,0,0
3,3,1,255,0,0
3,3,2,255,0,0
3,3,3,255,0,0
